iter	Passed	Remaining
0	1	1220
1	1	771
2	2	696
3	2	685
4	3	611
5	3	603
6	4	603
7	4	577
8	5	576
9	5	571
10	6	564
11	6	569
12	7	566
13	8	572
14	8	569
15	9	565
16	9	562
17	10	563
18	10	565
19	11	566
20	12	564
21	12	549
22	12	544
23	13	540
24	13	538
25	14	529
26	14	526
27	15	521
28	15	518
29	15	515
30	16	513
31	16	509
32	17	508
33	17	502
34	18	497
35	18	494
36	18	491
37	19	491
38	19	487
39	20	484
40	20	479
41	20	477
42	21	475
43	21	472
44	22	470
45	22	466
46	22	463
47	23	461
48	23	459
49	24	457
50	24	452
51	24	450
52	24	446
53	25	444
54	25	442
55	26	441
56	26	439
57	27	439
58	27	437
59	27	435
60	28	432
61	28	428
62	28	427
63	29	427
64	29	424
65	29	424
66	30	423
67	30	421
68	31	419
69	31	418
70	31	415
71	32	414
72	32	413
73	32	412
74	33	411
75	33	409
76	34	408
77	34	407
78	34	406
79	35	405
80	35	405
81	36	403
82	36	402
83	36	400
84	37	399
85	37	398
86	37	396
87	38	395
88	38	395
89	39	395
90	39	393
91	39	392
92	40	392
93	40	391
94	41	390
95	41	390
96	41	389
97	42	388
98	42	387
99	42	385
100	43	382
101	43	381
102	43	382
103	44	381
104	44	380
105	44	379
106	45	378
107	45	377
108	45	375
109	46	374
110	46	372
111	46	372
112	47	371
113	47	370
114	48	370
115	48	369
116	48	366
117	48	366
118	49	365
119	49	365
120	50	364
121	50	363
122	50	363
123	51	363
124	51	362
125	52	361
126	52	359
127	52	359
128	53	359
129	53	358
130	53	358
131	54	357
132	54	356
133	55	355
134	55	354
135	55	353
136	56	352
137	56	351
138	56	350
139	57	350
140	57	350
141	57	348
142	58	348
143	58	348
144	58	347
145	59	346
146	59	345
147	59	344
148	60	344
149	60	343
150	60	342
151	61	341
152	61	339
153	61	339
154	62	338
155	62	337
156	62	336
157	63	335
158	63	335
159	63	334
160	64	333
161	64	332
162	64	332
163	65	331
164	65	331
165	65	330
166	66	329
167	66	329
168	66	328
169	67	327
170	67	326
171	67	326
172	68	325
173	68	325
174	69	325
175	69	324
176	69	324
177	70	323
178	70	322
179	70	322
180	71	321
181	71	320
182	71	320
183	72	319
184	72	319
185	72	318
186	73	317
187	73	317
188	73	316
189	74	316
190	74	315
191	74	314
192	75	314
193	75	313
194	75	312
195	76	312
196	76	311
197	76	310
198	76	309
199	77	309
200	77	309
201	78	308
202	78	307
203	78	307
204	79	306
205	79	306
206	79	305
207	80	304
208	80	304
209	80	303
210	81	303
211	81	302
212	81	301
213	82	301
214	82	300
215	82	300
216	83	299
217	83	298
218	83	298
219	84	297
220	84	297
221	84	297
222	85	296
223	85	295
224	85	295
225	86	294
226	86	294
227	86	294
228	87	295
229	88	295
230	88	295
231	89	294
232	89	294
233	89	293
234	90	293
235	90	292
236	90	292
237	91	291
238	91	291
239	91	291
240	92	290
241	92	289
242	92	288
243	92	288
244	93	287
245	93	287
246	93	286
247	94	285
248	94	284
249	94	284
250	95	283
251	95	283
252	95	283
253	96	282
254	96	282
255	96	281
256	97	281
257	97	280
258	97	279
259	98	279
260	98	278
261	98	278
262	99	277
263	99	277
264	99	276
265	99	275
266	100	275
267	100	274
268	100	274
269	101	274
270	101	273
271	102	273
272	102	272
273	102	271
274	102	271
275	103	270
276	103	270
277	103	269
278	104	269
279	104	269
280	105	268
281	105	268
282	105	268
283	106	268
284	106	267
285	108	269
286	109	272
287	110	274
288	113	279
289	113	279
290	114	279
291	115	280
292	116	280
293	116	280
294	117	280
295	118	282
296	122	289
297	123	290
298	123	290
299	124	289
300	124	289
301	125	289
302	125	288
303	125	288
304	126	287
305	126	287
306	127	287
307	128	287
308	129	288
309	129	288
310	129	287
311	130	287
312	131	287
313	131	287
314	131	286
315	132	285
316	132	285
317	132	284
318	133	284
319	133	283
320	133	283
321	134	282
322	134	282
323	135	281
324	135	281
325	136	281
326	136	280
327	136	280
328	137	279
329	137	279
330	137	278
331	138	277
332	138	277
333	138	276
334	139	276
335	139	275
336	140	275
337	140	274
338	140	274
339	140	273
340	141	272
341	141	272
342	141	271
343	142	271
344	142	270
345	142	269
346	143	269
347	143	268
348	143	268
349	144	267
350	144	267
351	144	266
352	145	266
353	145	265
354	145	265
355	146	264
356	146	264
357	147	263
358	147	263
359	147	262
360	148	262
361	148	261
362	148	261
363	149	260
364	149	260
365	149	259
366	150	259
367	150	258
368	151	258
369	151	258
370	151	257
371	152	256
372	152	256
373	152	255
374	153	255
375	153	255
376	154	254
377	154	254
378	154	253
379	155	253
380	155	252
381	155	252
382	156	251
383	156	251
384	156	250
385	157	249
386	157	249
387	157	248
388	158	248
389	158	247
390	158	247
391	159	247
392	159	246
393	159	245
394	160	245
395	160	244
396	160	244
397	161	243
398	161	243
399	161	242
400	162	242
401	162	242
402	163	241
403	163	241
404	163	240
405	164	240
406	164	240
407	165	239
408	165	239
409	165	238
410	166	238
411	166	237
412	166	237
413	167	236
414	167	235
415	167	235
416	168	234
417	168	234
418	168	233
419	168	233
420	169	233
421	169	232
422	170	232
423	170	231
424	170	231
425	171	230
426	171	230
427	171	229
428	172	229
429	172	228
430	172	228
431	173	227
432	173	227
433	173	226
434	174	226
435	174	225
436	174	225
437	175	224
438	175	224
439	175	223
440	175	223
441	176	222
442	176	222
443	177	221
444	177	221
445	177	220
446	177	219
447	178	219
448	178	219
449	178	218
450	179	218
451	179	217
452	179	217
453	180	216
454	180	216
455	180	215
456	181	215
457	181	214
458	181	214
459	182	213
460	182	213
461	182	213
462	183	212
463	183	212
464	184	211
465	184	211
466	184	211
467	185	210
468	185	210
469	185	209
470	186	209
471	186	208
472	186	208
473	187	207
474	187	207
475	187	206
476	188	206
477	188	205
478	188	205
479	189	205
480	189	204
481	189	204
482	190	203
483	190	203
484	190	202
485	191	202
486	191	201
487	191	201
488	192	200
489	192	200
490	192	199
491	193	199
492	193	199
493	193	198
494	194	198
495	194	197
496	194	197
497	195	196
498	195	196
499	195	195
500	196	195
501	196	195
502	197	194
503	197	194
504	197	193
505	198	193
506	198	192
507	198	192
508	199	192
509	200	192
510	200	191
511	200	191
512	201	191
513	201	190
514	201	190
515	202	189
516	202	189
517	203	189
518	203	188
519	203	188
520	204	187
521	204	187
522	204	186
523	205	186
524	205	185
525	205	185
526	206	185
527	206	184
528	206	184
529	207	183
530	207	183
531	207	182
532	208	182
533	208	181
534	208	181
535	209	180
536	209	180
537	209	180
538	210	179
539	210	179
540	210	178
541	210	178
542	211	177
543	211	177
544	211	176
545	212	176
546	212	176
547	213	175
548	213	175
549	213	175
550	214	174
551	214	174
552	214	173
553	215	173
